Cl_abscissa,Cl_cdf,Q_abscissa,Q_cdf,split
6.56899,0.0768571,2.11982,0.077,All
6.57334,0.077,2.13557,0.0771429,All
6.57447,0.0771429,2.14568,0.0772857,All
6.57447,0.0772857,2.14568,0.0774286,All
6.57566,0.0774286,2.14737,0.0775714,All
6.57566,0.0775714,2.15379,0.0777143,All
6.57566,0.0777143,2.15793,0.0778571,All
6.58042,0.0778571,2.15793,0.078,All
6.58071,0.078,2.16035,0.0781429,All
6.58071,0.0781429,2.16273,0.0782857,All
6.58071,0.0782857,2.16646,0.0784286,All
6.58091,0.0784286,2.16848,0.0785714,All
6.58223,0.0785714,2.1784,0.0787143,All
6.58223,0.0787143,2.1784,0.0788571,All
6.5837,0.0788571,2.1795,0.079,All
6.58559,0.079,2.20784,0.0791429,All
6.58559,0.0791429,2.21051,0.0792857,All
6.58649,0.0792857,2.21249,0.0794286,All
6.59182,0.0794286,2.21849,0.0795714,All
6.59491,0.0795714,2.22382,0.0797143,All
6.59491,0.0797143,2.22665,0.0798571,All
6.59504,0.0798571,2.22717,0.08,All
6.59537,0.08,2.22933,0.0801429,All
6.60072,0.0801429,2.24336,0.0802857,All
6.60167,0.0802857,2.24978,0.0804286,All
6.60517,0.0804286,2.24978,0.0805714,All
6.60626,0.0805714,2.24978,0.0807143,All
6.6191,0.0807143,2.24978,0.0808571,All
6.61984,0.0808571,2.24991,0.081,All
6.62545,0.081,2.24991,0.0811429,All
6.62615,0.0811429,2.25073,0.0812857,All
6.62751,0.0812857,2.25073,0.0814286,All
6.64229,0.0814286,2.25566,0.0815714,All
6.64516,0.0815714,2.2564,0.0817143,All
6.64516,0.0817143,2.26085,0.0818571,All
6.64516,0.0818571,2.26592,0.082,All
6.64983,0.082,2.26873,0.0821429,All
6.65099,0.0821429,2.27596,0.0822857,All
6.65428,0.0822857,2.27596,0.0824286,All
6.65428,0.0824286,2.28146,0.0825714,All
6.65539,0.0825714,2.28154,0.0827143,All
6.65936,0.0827143,2.28343,0.0828571,All
6.65936,0.0828571,2.28436,0.083,All
6.66046,0.083,2.28917,0.0831429,All
6.66906,0.0831429,2.29035,0.0832857,All
6.66906,0.0832857,2.29595,0.0834286,All
6.66906,0.0834286,2.29669,0.0835714,All
6.67006,0.0835714,2.29687,0.0837143,All
6.67132,0.0837143,2.29791,0.0838571,All
6.6751,0.0838571,2.30345,0.084,All
6.67965,0.084,2.30345,0.0841429,All
