iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
138,837.256,1,10.0775,13.7337,42.6731,41.6461,2.22045e-16,0.438506,0.101618,0.133151,0.96523,0.244947,0.824039,0.101405,0.813006,0.241497
139,852.054,1,10.0671,13.3044,42.7608,44.8765,2.22045e-16,0.338432,0.105317,0.143429,0.950481,0.247776,0.803174,0.101059,0.794852,0.247566
140,846.457,1,10.1011,13.0406,42.238,38.7261,2.22045e-16,0.330859,0.102714,0.14148,0.9583,0.248391,0.782837,0.107332,0.774726,0.254566
141,847.027,1,10.147,13.4467,42.445,42.9791,2.22045e-16,0.374214,0.103547,0.141863,0.966108,0.244035,0.763016,0.104614,0.803623,0.24812
142,855.991,1,10.0304,12.7748,42.3499,41.1589,2.22045e-16,0.344569,0.11087,0.139964,0.96636,0.237856,0.743696,0.101965,0.783275,0.241838
143,859.286,1,10.032,13.0572,42.0583,43.226,2.22045e-16,0.336047,0.11098,0.142658,0.96659,0.235816,0.762173,0.0993833,0.763442,0.249048
144,853.891,1,10.1423,12.6847,42.3641,44.9852,2.22045e-16,0.517068,0.106032,0.13888,0.964444,0.241475,0.827598,0.0968669,0.744111,0.242742
145,846.611,1,10.0746,13.2935,42.5457,39.5318,2.22045e-16,0.491214,0.108604,0.131936,0.959234,0.24936,0.856158,0.0944142,0.72527,0.250122
146,846.481,1,10.1317,12.6612,42.4496,44.0533,2.22045e-16,0.530706,0.108622,0.126608,0.95486,0.243046,0.83448,0.0920235,0.706905,0.252794
147,845.763,1,10.1672,12.0636,43.3975,48.6399,2.22045e-16,0.318166,0.110386,0.13771,0.96911,0.242044,0.822562,0.0896935,0.757844,0.253094
148,845.903,1,10.125,12.6302,43.9196,49.301,2.22045e-16,0.328351,0.110607,0.134121,0.968909,0.242801,0.86344,0.0874224,0.796275,0.259977
149,847.95,1,10.0689,12.7074,43.2889,49.9682,2.22045e-16,0.393284,0.11055,0.127312,0.957664,0.248043,0.912102,0.0852088,0.780737,0.256396
150,851.95,1,10.0337,13.2186,43.6022,47.6576,2.22045e-16,0.361148,0.110918,0.128512,0.965965,0.264817,0.966442,0.0830512,0.808417,0.264522
151,851.099,1,10.1003,11.9744,43.0343,44.44,2.22045e-16,0.38276,0.106141,0.13525,0.984318,0.258112,0.983224,0.0826171,0.787948,0.257824
152,850.313,1,10.1296,13.13,42.5965,40.5583,2.22045e-16,0.380731,0.107041,0.135045,0.965352,0.251576,0.972648,0.0805252,0.822925,0.254146
153,853.041,1,10.0242,12.4473,41.9794,39.2229,2.22045e-16,0.385822,0.105185,0.140602,0.94963,0.245206,1.02831,0.0784862,0.802088,0.247993
154,857.01,1,10.0334,13.6537,41.5513,35.3696,2.22045e-16,0.280977,0.106571,0.148056,0.96976,0.241296,1.00227,0.0764989,0.781779,0.256829
155,834.577,1,10.0516,13.1094,41.6923,37.7247,2.22045e-16,0.420448,0.102331,0.136962,0.954732,0.243386,0.97689,0.0745619,0.761984,0.250326
156,842.397,1,10.007,13.5339,40.946,40.1446,2.22045e-16,0.348993,0.103747,0.142347,0.93577,0.237223,1.03328,0.072674,0.74269,0.259148
157,837.247,1,9.96756,13.5718,41.3659,44.0398,2.22045e-16,0.484309,0.0990753,0.135434,0.949335,0.251014,1.00711,0.0708338,0.723885,0.261454
158,841.136,1,9.93714,13.0679,41.7057,45.8221,2.22045e-16,0.350219,0.102377,0.143921,0.950446,0.256372,0.981612,0.0690403,0.712338,0.254834
159,842.181,1,10.0115,13.6441,42.0022,45.9988,2.22045e-16,0.368578,0.104593,0.137447,0.961097,0.2698,0.956757,0.0705576,0.694301,0.255218
160,833.637,1,9.97862,13.3967,41.9264,46.3079,2.22045e-16,0.405592,0.101603,0.137852,0.942843,0.274032,0.932531,0.0687711,0.676721,0.252266
161,841.973,1,9.98859,13.0963,42.189,45.372,2.22045e-16,0.453275,0.0994611,0.139308,0.942218,0.267094,0.946558,0.0729006,0.697489,0.258434
162,841.045,1,10.0271,12.2668,41.9866,44.6724,2.22045e-16,0.360776,0.101678,0.141937,0.964598,0.260331,0.939605,0.0801819,0.679828,0.25189
163,837.798,1,10.053,12.522,41.3301,44.3795,2.22045e-16,0.369286,0.101949,0.14081,0.961988,0.253739,0.915814,0.0781516,0.662615,0.245512
164,836.454,1,10.0512,12.1605,41.3791,45.5344,2.22045e-16,0.388068,0.103718,0.13674,0.962384,0.247314,0.892625,0.0807319,0.650017,0.239296
165,837.563,1,9.95874,12.5281,41.7578,41.63,2.22045e-16,0.322633,0.101035,0.140218,0.963491,0.247418,0.973443,0.0786877,0.67426,0.246821
166,847.163,1,10.0695,12.1097,41.6636,41.3031,2.22045e-16,0.341692,0.104361,0.145831,0.965918,0.248977,0.948795,0.0766953,0.705383,0.240571
167,842.145,1,10.1916,13.0476,42.2124,43.217,2.22045e-16,0.27317,0.104469,0.150961,0.98012,0.242672,0.956016,0.0747533,0.710432,0.249228
