iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
149,862.304,1,9.56933,9.90709,44.0125,99.1341,0.309834,0.0616176,0.504898,0.255029,0.435144,0.26525,0.86253
150,871.291,1,9.62856,10.0985,44.3804,97.1979,0.310667,0.0639656,0.476778,0.253469,0.475574,0.266302,0.813323
151,874.137,1,9.76556,10.0483,44.8515,99.3219,0.303622,0.067525,0.403795,0.245761,0.451541,0.267363,0.755611
152,870.41,1,9.65937,9.99983,44.7907,96.5039,0.300338,0.0665004,0.39685,0.247406,0.429873,0.269276,0.817215
153,870.58,1,9.71182,10.0563,44.3396,89.1665,0.301351,0.0666641,0.490113,0.244889,0.437422,0.260481,0.853827
154,869.888,1,9.7572,9.90253,43.369,87.894,0.304149,0.0645215,0.438899,0.248939,0.487103,0.271634,0.803841
155,878.206,1,9.71632,10.0297,44.2047,92.7492,0.30383,0.067359,0.398733,0.249227,0.492172,0.275255,0.7754
156,872.836,1,9.85847,10.7529,43.3755,82.4107,0.300556,0.0651935,0.50275,0.254372,0.476025,0.308645,0.826748
157,856.918,1,9.79198,10.5259,43.4264,83.4202,0.309441,0.06016,0.582928,0.258898,0.442374,0.275387,0.838663
158,857.815,1,9.82498,10.6994,43.2979,82.0208,0.303287,0.061467,0.542372,0.253568,0.486318,0.2623,0.808825
159,861.21,1,9.7665,10.5381,43.8939,85.8336,0.299747,0.0632121,0.559754,0.25434,0.483099,0.260375,0.837231
160,863.701,1,9.81784,10.7629,43.6922,89.535,0.299815,0.0642465,0.612828,0.250692,0.479624,0.278145,0.820023
161,857.683,1,9.73573,10.5936,43.9498,87.4306,0.300734,0.0620121,0.610229,0.253626,0.475476,0.277219,0.823874
162,860.39,1,9.82721,10.1136,44.3288,84.3208,0.30827,0.0618211,0.601866,0.252894,0.447016,0.287041,0.799435
163,858.895,1,9.81262,9.91097,44.2423,81.7061,0.305704,0.0625639,0.598662,0.252354,0.431803,0.273039,0.804086
164,864.939,1,9.75402,9.88942,43.6694,77.8133,0.305855,0.0636364,0.584023,0.246383,0.442837,0.274836,0.866509
165,862.284,1,9.80416,9.85525,43.7999,75.4371,0.308364,0.0619263,0.666155,0.251807,0.457952,0.284782,0.892685
166,861.447,1,9.84423,10.4363,43.5068,74.2961,0.302604,0.0622043,0.604511,0.247932,0.473514,0.290141,0.863049
167,864.535,1,9.80869,10.6303,44.1621,72.4651,0.302517,0.0625326,0.589611,0.255856,0.465746,0.293008,0.896104
168,860.876,1,9.82757,10.3158,43.7492,73.2003,0.308109,0.0599179,0.568253,0.257929,0.481265,0.288738,0.888843
169,850.993,1,9.82185,10.5869,43.755,76.6266,0.30752,0.0578151,0.519667,0.259821,0.456829,0.2852,0.824332
170,849.005,1,9.82977,10.5134,43.5107,77.4128,0.302023,0.0583345,0.538897,0.258111,0.466163,0.281377,0.828787
171,854.731,1,9.79962,10.5857,43.3675,74.4701,0.303026,0.058056,0.434403,0.263179,0.488607,0.301199,0.839686
172,857.572,1,9.83805,10.898,42.8472,72.3813,0.312558,0.0576954,0.500204,0.266852,0.472962,0.29946,0.836079
173,852.734,1,9.81885,11.1174,42.9682,71.5017,0.308037,0.0579361,0.558282,0.253702,0.47594,0.294545,0.837875
174,853.702,1,9.86294,11.3964,43.1675,70.2199,0.306111,0.0584994,0.585545,0.25577,0.475828,0.286719,0.883914
175,858.022,1,9.84057,11.4297,42.138,69.7362,0.30574,0.0608397,0.61423,0.251212,0.438149,0.294352,0.879267
176,859.711,1,9.8552,11.5374,42.7028,68.0263,0.302945,0.0612201,0.601856,0.250993,0.443646,0.296416,0.924355
177,863.014,1,9.81122,11.0668,42.8359,75.6039,0.30276,0.063133,0.622426,0.247131,0.424128,0.293192,0.926906
178,858.188,1,9.82636,11.0237,42.1521,73.2876,0.30256,0.0619932,0.613547,0.245325,0.418263,0.293713,0.897446
179,860.716,1,9.73104,11.0252,42.454,76.4994,0.308926,0.0610051,0.655689,0.255911,0.435891,0.289066,0.929359
180,860.851,1,9.73574,10.5308,42.7493,76.7967,0.30537,0.0609805,0.630576,0.253518,0.461178,0.291785,0.932219
181,861.422,1,9.76207,10.3324,43.8804,78.3604,0.302269,0.0626325,0.56583,0.254069,0.438349,0.269461,0.909031
182,860.64,1,9.70693,10.3363,42.8748,78.6164,0.30906,0.0613889,0.54931,0.255158,0.425334,0.264757,0.897564
183,863.755,1,9.7859,10.926,43.2006,79.4868,0.304443,0.0615643,0.544483,0.253166,0.475993,0.287834,0.900166
184,858.336,1,9.84267,10.9013,42.7433,77.4267,0.307487,0.0606276,0.615112,0.255394,0.459101,0.276062,0.877388
