iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
199,287.029,1,2.87201,0.673852,24.1743,5.53479,313.965,0.334641,0.230824,0.291955,0.294496,0.0271188
200,287.939,1,2.88867,0.669651,24.3188,5.50802,314.395,0.326168,0.226652,0.284562,0.27551,0.0276772
201,291.008,1,2.85233,0.701343,24.2101,5.53834,316.513,0.333163,0.23059,0.277357,0.264256,0.0278901
202,279.011,1,2.88339,0.67279,24.1944,5.57877,314.782,0.324727,0.229848,0.270334,0.274674,0.0264956
203,281.501,1,2.88271,0.696244,24.1324,5.41085,314.29,0.316948,0.228952,0.263489,0.218218,0.0269089
204,279.368,1,2.84937,0.660509,24.6284,5.47045,322.117,0.323137,0.228495,0.256817,0.15134,0.0267831
205,286.807,1,2.8005,0.635891,24.5898,5.5724,325.357,0.346425,0.222993,0.250315,0.20408,0.0278614
206,280.509,1,2.79626,0.691679,24.5304,5.55733,325.865,0.342163,0.224485,0.243976,0.20097,0.0271809
207,282.962,1,2.81143,0.676441,24.3099,5.51834,324.147,0.340901,0.228058,0.237799,0.23415,0.0276556
208,282.512,1,2.83491,0.656945,24.4208,5.45945,322.501,0.338026,0.237578,0.231778,0.256483,0.0273258
209,289.209,1,2.86699,0.624683,25.0859,5.48044,325.398,0.330944,0.256056,0.248158,0.218999,0.027665
210,289.598,1,2.84264,0.675079,24.8277,5.56431,324.35,0.332093,0.249573,0.241875,0.204681,0.0280935
211,289.546,1,2.8202,0.63023,25.0248,5.81339,327.485,0.327905,0.248697,0.244815,0.102003,0.0278588
212,293.521,1,2.80063,0.662327,24.508,5.46192,328.573,0.332281,0.247634,0.238616,0.171004,0.0287392
213,280.433,1,2.79829,0.680561,24.8819,5.59782,332.327,0.325836,0.247489,0.232574,0.172729,0.0273023
214,279.161,1,2.7982,0.633319,24.4098,5.52089,332.1,0.321822,0.242284,0.230909,0.161638,0.0267902
215,283.555,1,2.80796,0.60402,24.4894,5.39181,330.77,0.32336,0.248898,0.225062,0.202703,0.0274562
216,285.184,1,2.80928,0.630496,24.3247,5.38866,328.315,0.328793,0.242596,0.227897,0.191083,0.0276574
