iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
214,822.291,1,5.32412,25.2263,6.10243,22.8636,0.210251,0.247396,0.725977,0.287457,0.230659,0.0635161
215,813.055,1,5.31405,25.0822,6.09742,22.5018,0.204927,0.241132,0.745084,0.280178,0.227037,0.0637582
216,823.728,1,5.314,24.5373,6.3533,22.4881,0.20787,0.235027,0.752166,0.285028,0.233113,0.0636513
217,822.637,1,5.32618,24.6606,6.17092,22.742,0.20744,0.256041,0.758202,0.277811,0.23534,0.0624508
218,830.342,1,5.3351,24.2101,6.12954,22.7183,0.202188,0.259904,0.757292,0.270777,0.23595,0.0648436
219,821.85,1,5.3679,24.5148,6.72801,22.9764,0.202755,0.265661,0.751913,0.26392,0.231772,0.0634854
220,822.782,1,5.3487,24.565,6.84249,22.3209,0.207666,0.258934,0.779384,0.257238,0.231633,0.0637738
221,826.559,1,5.33775,24.6002,6.72567,22.4567,0.20808,0.2529,0.791551,0.250724,0.234123,0.06464
222,815.082,1,5.34173,23.6645,7.12986,22.7928,0.205625,0.246497,0.771508,0.260633,0.232906,0.0630032
223,830.907,1,5.35787,23.7016,7.6365,22.9916,0.208928,0.256474,0.775495,0.254034,0.231277,0.0665385
224,828.321,1,5.3387,23.5571,7.52308,23.8743,0.210333,0.250372,0.809895,0.247601,0.23311,0.0654332
225,828.312,1,5.35984,24.1315,7.37169,24.4557,0.205007,0.244033,0.855967,0.241332,0.228812,0.0671747
226,827.977,1,5.37504,24.0683,7.14663,25.7207,0.206193,0.237854,0.834293,0.261875,0.228373,0.0665499
227,827.418,1,5.34891,24.2237,6.96015,23.114,0.201011,0.245991,0.813169,0.255244,0.227689,0.067486
228,826.121,1,5.35266,23.9847,6.93325,22.6799,0.202692,0.239763,0.792579,0.268043,0.230761,0.0657772
229,825.62,1,5.33698,24.5991,6.67078,21.6703,0.208895,0.256902,0.77251,0.272682,0.230059,0.0647371
230,830.494,1,5.35069,24.9455,6.17712,21.5402,0.208539,0.256695,0.75295,0.294402,0.231552,0.0653928
231,831.104,1,5.34007,24.9763,6.12204,21.2018,0.208441,0.258968,0.733885,0.286947,0.228784,0.0671889
232,823.989,1,5.33676,25.5705,5.96641,21.3608,0.206261,0.255668,0.715302,0.279682,0.228858,0.066377
