iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
96,785.003,1,5.89312,11.2694,45.1217,39.963,0.287857,0.0874724,0.769662,0.579778,0.998761,0.175485,0.47634,0.272043,0.216619
97,775.688,1,5.59314,10.4581,45.2499,40.1083,0.293203,0.0852576,0.763728,0.626693,0.998761,0.176148,0.464278,0.266418,0.212442
98,779.011,1,5.55034,10.8056,45.3408,40.2145,0.294071,0.0830988,0.753539,0.636444,0.998761,0.176314,0.452523,0.259672,0.209366
99,773.521,1,5.61743,10.6315,45.2367,40.0827,0.292336,0.0809947,0.748371,0.628176,0.998761,0.17185,0.448064,0.260683,0.210274
100,769.196,1,5.63189,9.97693,44.4982,39.6159,0.287573,0.0804215,0.6946,0.626146,0.998761,0.171733,0.436718,0.26061,0.208989
101,765.034,1,5.74961,9.73613,44.3829,39.5048,0.295417,0.0783852,0.724887,0.59219,0.998761,0.173153,0.455634,0.262769,0.210822
102,756.326,1,5.77687,9.49975,44.5115,39.5608,0.293016,0.0739811,0.757394,0.584783,0.998761,0.175089,0.478135,0.255733,0.206054
103,760.072,1,5.76462,9.07007,44.9383,39.9014,0.291847,0.0767546,0.749389,0.586479,0.998761,0.171064,0.462033,0.256777,0.205306
104,767.921,1,5.72238,8.53219,45.1108,40.119,0.290896,0.0785312,0.789001,0.595173,0.998761,0.171458,0.457459,0.261221,0.20672
105,758.443,1,5.45445,9.00259,45.0342,40.1339,0.293604,0.0756012,0.752129,0.643135,0.998761,0.174061,0.443199,0.26112,0.207748
106,762.283,1,5.36602,9.35628,44.9513,40.1252,0.299457,0.0755828,0.733161,0.659023,0.998761,0.18044,0.450006,0.270486,0.211617
107,765.198,1,5.58208,9.66205,44.5019,39.8391,0.298165,0.0747611,0.765013,0.620445,0.998761,0.180426,0.436201,0.265468,0.208662
108,769.068,1,5.59458,9.81157,43.9225,39.4424,0.29773,0.0745318,0.73319,0.61083,0.998761,0.177707,0.506627,0.264152,0.208121
109,765.895,1,5.65876,10.0101,43.9113,39.4675,0.299121,0.0720757,0.719683,0.605745,0.998761,0.178913,0.533335,0.263718,0.207494
110,764.096,1,5.54665,9.39778,43.6214,39.3358,0.302,0.0733236,0.730147,0.627628,0.998761,0.182852,0.502846,0.264105,0.211573
111,759.761,1,5.75489,9.83592,44.109,39.643,0.297876,0.0719668,0.73828,0.593947,0.998761,0.18482,0.464655,0.262017,0.207986
112,757.21,1,5.78645,9.92294,44.2174,39.6367,0.299943,0.0729113,0.755415,0.587526,0.998761,0.182363,0.422535,0.267813,0.210805
113,766.048,1,5.83977,9.88475,44.2097,39.5915,0.299027,0.0717132,0.751603,0.579135,0.998761,0.177219,0.475329,0.261535,0.205214
114,749.336,1,5.70505,9.97481,43.9768,39.4773,0.302446,0.0692885,0.767595,0.598862,0.998761,0.18009,0.496425,0.25976,0.205325
115,743.217,1,5.73598,9.91865,43.79,39.2644,0.299688,0.0685651,0.737323,0.597256,0.998761,0.180073,0.477478,0.262644,0.207431
116,753.553,1,5.69604,9.48183,43.7203,39.216,0.301406,0.0705247,0.742471,0.606152,0.998761,0.181886,0.483068,0.259829,0.206136
