standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
1.09547,0.892857,0.906784,0.892857,1.00708,0.892857,1.17997,0.892857,1.0575,0.892857,1.3521,0.892857,1.31578,0.892857,All
1.10672,0.9,0.918234,0.9,1.01044,0.9,1.18287,0.9,1.07802,0.9,1.41413,0.9,1.34308,0.9,All
1.13661,0.907143,0.919251,0.907143,1.0366,0.907143,1.30133,0.907143,1.09015,0.907143,1.47129,0.907143,1.35623,0.907143,All
1.16952,0.914286,0.969077,0.914286,1.04925,0.914286,1.41378,0.914286,1.12389,0.914286,1.5504,0.914286,1.36355,0.914286,All
1.18707,0.921429,0.979824,0.921429,1.17384,0.921429,1.45534,0.921429,1.15072,0.921429,1.62218,0.921429,1.44295,0.921429,All
1.20565,0.928571,1.02877,0.928571,1.23487,0.928571,1.46164,0.928571,1.18419,0.928571,1.74482,0.928571,1.46342,0.928571,All
1.21673,0.935714,1.07211,0.935714,1.62785,0.935714,1.51684,0.935714,1.18864,0.935714,1.77717,0.935714,1.5062,0.935714,All
1.26239,0.942857,1.08163,0.942857,1.81679,0.942857,1.75739,0.942857,1.19764,0.942857,1.78014,0.942857,1.67744,0.942857,All
1.2661,0.95,1.10806,0.95,1.89527,0.95,1.77566,0.95,1.20439,0.95,1.92646,0.95,1.70444,0.95,All
1.27069,0.957143,1.12407,0.957143,1.90158,0.957143,1.82957,0.957143,1.21109,0.957143,1.99613,0.957143,1.72683,0.957143,All
1.35126,0.964286,1.17258,0.964286,1.93378,0.964286,2.00879,0.964286,1.22099,0.964286,2.10977,0.964286,1.81936,0.964286,All
1.37166,0.971429,1.22378,0.971429,2.00651,0.971429,2.14201,0.971429,1.29518,0.971429,2.30255,0.971429,1.85297,0.971429,All
1.37762,0.978571,1.34962,0.978571,2.0112,0.978571,2.16843,0.978571,1.47358,0.978571,2.30658,0.978571,2.04964,0.978571,All
1.4561,0.985714,1.39112,0.985714,2.03014,0.985714,2.18871,0.985714,1.49948,0.985714,2.37014,0.985714,2.05676,0.985714,All
1.60442,0.992857,1.41069,0.992857,2.22753,0.992857,2.28723,0.992857,1.85176,0.992857,2.48393,0.992857,2.06865,0.992857,All
1.72297,1,1.46339,1,2.2695,1,2.76535,1,2.50532,1,2.96274,1,2.33018,1,All
4,1,4,1,4,1,4,1,4,1,4,1,4,1,All
